Unnamed: 0,NAME,TEAM,POS,NAT,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,FOULS,FOULED,TACKLES ATT/WON,AERIALS ATT/WON,DUELS ATT/WON,CLEAR,ERR CHANCE,ERR GOAL,POSS LOST,OFFSIDE,TOUCHES,INTERCEP,RECOV,LAST MAN TACKLE,PASSES,PASS COMP %,FINAL THIRD,LONG BALL,PEN,SHOTS,ON TARGET,BLOCKED,DRIBBLES,TOUCHES IN BOX,BIG CHANCE,CROSSES,SAVES,GOALS CON,PEN CON,PEN SAVE,DECISIVE,FIRST,EQUALISER,PEN WON,RATING,MATCH_ID
,R. Jiménez,Fulham,S,,Mexico,71,-,-,-,-,-,2,1/0,4/1,12/6,2,1,-,8,2,38,1,2,-,21,76%,8,1,-,2,-,1,2,4,-,3,-,-,-,-,-,-,-,-,5.8,3356812
,Rodrigo Muniz,Fulham,F,,Brazil,19,-,-,-,-,-,1,0/0,5/2,6/3,1,-,-,1,-,7,-,-,-,2,100%,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.8,3356812
,T. Cairney,Fulham,M,,Scotland,10,-,-,-,-,-,3,0/0,1/0,4/3,-,-,-,-,-,17,-,2,-,13,100%,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356812
,Adama Traoré,Fulham,F,,Spain,45,1,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356812
,J. Stolarczyk,Leicester,GK,,Poland,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,15,-,36,-,8,-,33,55%,5,22,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,5.7,3356812
,J. Justin,Leicester,DR,,England,90,-,-,-,-,1,1,0/0,4/1,5/2,3,-,-,15,1,57,1,2,-,35,63%,13,4,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,5.9,3356812
,W. Faes,Leicester,DCR,,Belgium,90,-,-,1,-,2,-,2/1,4/4,8/6,4,-,-,9,-,57,1,3,-,46,80%,7,6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.1,3356812
,J. Vestergaard,Leicester,DCL,,Denmark,90,-,-,1,-,1,-,0/0,4/1,5/1,5,-,-,4,-,52,-,2,-,46,91%,2,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.9,3356812
,V. Kristiansen,Leicester,DL,,Denmark,90,-,-,-,-,-,-,1/1,4/1,8/3,2,-,-,9,-,58,1,5,-,34,94%,9,1,-,1,-,-,1,2,-,4,-,-,-,-,-,-,-,-,6.3,3356812
,H. Winks,Leicester,DMCR,,England,64,-,-,-,-,-,-,1/1,0/0,3/1,1,-,-,5,-,35,-,4,-,29,86%,7,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,3356812
,B. Soumaré,Leicester,DMCL,,France,90,-,-,-,-,1,2,0/0,3/2,10/6,1,-,-,15,-,71,1,8,-,56,86%,9,1,-,-,-,-,2,3,-,2,-,-,-,-,-,-,-,-,6.4,3356812
,J. Ayew,Leicester,AMR,,Ghana,71,-,-,-,-,-,1,1/1,7/1,19/3,-,-,-,17,-,41,2,3,-,19,68%,8,1,-,3,1,-,-,4,-,1,-,-,-,-,-,-,-,-,5.9,3356812
,B. El Khannouss,Leicester,AMC,,Morocco,64,-,-,-,-,-,1,2/1,5/4,11/8,-,-,-,14,-,44,-,3,-,28,68%,12,3,-,-,-,-,1,3,-,4,-,-,-,-,-,-,-,-,6.2,3356812
,S. Mavididi,Leicester,AML,,England,71,-,-,-,-,-,-,0/0,3/2,8/3,-,-,-,9,-,23,-,1,-,14,79%,8,-,-,1,1,-,1,1,-,3,-,-,-,-,-,-,-,-,5.6,3356812
,J. Vardy,Leicester,S,,England,90,-,-,-,-,1,-,1/1,4/2,7/3,-,-,-,3,1,15,1,1,-,10,70%,6,1,-,1,1,-,-,5,-,-,-,-,-,-,-,-,-,-,6.1,3356812
,K. McAteer,Leicester,M,,Republic of Ireland,26,-,-,1,-,1,1,1/1,2/2,5/4,2,-,-,2,-,14,1,1,-,6,83%,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.3,3356812
,O. Skipp,Leicester,M,,England,26,-,-,-,-,1,-,2/1,0/0,4/2,-,-,-,8,-,24,-,1,-,12,58%,4,1,-,1,-,1,-,4,-,-,-,-,-,-,-,-,-,-,5.8,3356812
,P. Daka,Leicester,F,,Zambia,19,-,-,-,-,-,2,0/0,2/1,3/2,-,-,-,1,-,8,-,-,-,6,83%,5,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.7,3356812
,F. Buonanotte,Leicester,M,,Argentina,19,-,-,-,-,-,-,0/0,0/0,5/1,-,-,-,9,-,16,-,1,-,6,50%,1,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,5.5,3356812
,Ł. Fabiański,West Ham,GK,,Poland,90,-,-,-,-,1,-,0/0,0/0,2/1,2,-,-,4,-,45,-,6,-,31,87%,-,11,-,-,-,-,1,-,-,-,5,2,1,-,-,-,-,-,6.4,3356816
,K. Mavropanos,West Ham,DR,,Greece,79,-,-,1,1,2,-,0/0,3/3,7/4,3,-,-,12,-,68,5,4,-,54,83%,4,3,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,6.4,3356816
,M. Kilman,West Ham,DC,,England,90,-,-,-,-,-,-,1/1,7/5,8/6,5,1,-,13,-,94,1,5,-,85,86%,9,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.2,3356816
,A. Cresswell,West Ham,DL,,England,56,-,-,-,-,-,-,0/0,2/2,0/2,-,-,-,13,-,46,1,1,-,36,78%,8,5,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-,6.0,3356816
,A. W-Bissaka,West Ham,DMR,,DR Congo,90,-,-,-,-,-,-,2/2,0/0,7/5,6,-,-,19,-,90,1,5,-,66,79%,17,4,-,1,-,-,3,1,-,2,-,-,-,-,-,-,-,-,7.0,3356816
,E. Álvarez,West Ham,DMCR,,Mexico,83,-,-,1,-,4,2,4/3,1/1,14/7,1,-,-,8,-,57,1,4,-,41,85%,9,1,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6.2,3356816
,G. Rodríguez,West Ham,DMCL,,Argentina,45,-,-,-,-,-,1,0/0,1/0,3/2,4,-,-,5,-,30,1,3,-,23,78%,1,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6.0,3356816
,Emerson,West Ham,DML,,Italy,56,-,-,-,-,-,1,0/0,0/0,3/1,1,-,-,11,-,29,-,2,-,20,60%,8,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,5.5,3356816
,Lucas Paquetá,West Ham,AMCR,,Brazil,56,-,-,-,-,1,-,1/0,4/1,7/2,-,-,-,12,-,31,-,3,-,21,62%,12,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.4,3356816
,T. Souček,West Ham,AMCL,,Czechia,90,-,-,-,-,2,2,1/0,4/3,9/5,2,-,-,11,-,56,-,1,-,46,78%,8,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.0,3356816
,K. Mohammed,West Ham,S,,Ghana,90,-,-,-,-,1,4,1/0,1/0,22/9,-,-,-,17,1,53,-,3,-,27,89%,9,4,-,1,-,1,4,3,-,1,-,-,-,-,-,-,-,-,6.2,3356816
,L. Orford,West Ham,M,,England,34,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,4,-,35,1,5,-,33,88%,6,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.3,3356816
,O. Scarles,West Ham,D,,England,34,-,-,-,-,-,-,0/0,1/1,4/2,-,-,-,6,-,32,-,1,-,21,95%,7,-,-,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-,6.0,3356816
,D. Ings,West Ham,F,,England,34,-,-,-,-,-,-,1/0,1/0,2/1,-,-,-,2,-,12,-,1,-,8,75%,3,-,-,1,-,1,-,3,-,-,-,-,-,-,-,-,-,-,5.7,3356816
,Carlos Soler,West Ham,M,,Spain,45,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356816
,Luis Guilherme,West Ham,M,,Brazil,7,-,-,-,-,-,-,0/0,1/1,0/1,-,-,-,1,-,5,-,1,-,5,80%,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356816
,D. Henderson,Crystal Palace,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,13,-,34,-,6,-,33,61%,5,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,3356816
,C. Richards,Crystal Palace,DR,,United States,90,-,-,-,-,-,-,0/0,2/1,2/1,5,-,-,7,-,71,2,2,-,58,90%,8,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,7.4,3356816
,M. Lacroix,Crystal Palace,DC,,France,90,-,-,-,-,2,1,2/2,3/1,8/4,4,-,-,9,-,84,3,3,-,73,88%,2,8,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,7.9,3356816
,M. Guéhi,Crystal Palace,DL,,England,90,-,-,-,-,-,1,2/2,4/3,9/6,2,-,-,12,-,77,3,9,-,67,82%,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.9,3356816
,D. Muñoz,Crystal Palace,DMR,,Colombia,90,-,-,-,-,1,-,2/1,1/0,7/2,3,-,-,9,-,54,2,4,-,35,80%,11,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.2,3356816
,W. Hughes,Crystal Palace,DMCR,,England,90,-,-,-,-,3,2,3/2,3/2,12/7,1,-,-,12,-,58,1,-,-,41,85%,14,3,-,-,-,-,-,1,-,6,-,-,-,-,-,-,-,-,6.8,3356816
,D. Kamada,Crystal Palace,DMCL,,Japan,90,-,-,-,-,2,1,3/1,1/0,9/5,-,-,-,7,-,69,2,4,-,54,91%,14,2,-,2,-,-,1,1,-,2,-,-,-,-,-,-,-,-,6.7,3356816
,T. Mitchell,Crystal Palace,DML,,England,90,-,-,-,-,-,2,5/1,2/1,12/8,1,-,-,20,-,69,1,2,-,33,67%,10,5,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,5.5,3356816
,I. Sarr,Crystal Palace,AMCR,,Senegal,68,-,-,-,-,1,-,0/0,2/1,3/1,1,-,-,15,-,26,1,2,-,20,40%,11,1,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,5.4,3356816
,Eberechi Eze,Crystal Palace,AMCL,,England,78,-,1,-,-,-,3,2/1,1/0,16/7,-,-,-,14,-,60,1,4,-,33,94%,15,1,-,2,-,-,2,2,-,5,-,-,-,-,-,-,-,-,7.0,3356816
,J. Mateta,Crystal Palace,S,,France,90,2,-,-,-,-,2,0/0,7/1,13/4,-,-,-,6,-,23,-,3,-,13,85%,7,-,1,3,3,-,1,2,1,1,-,-,-,-,1,1,-,-,7.8,3356816
,J. Devenny,Crystal Palace,M,,Northern Ireland,22,-,-,-,-,-,-,0/0,1/0,0/0,-,-,-,2,-,11,-,2,-,9,78%,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,3356816
,E. Nketiah,Crystal Palace,F,,England,12,-,-,-,-,-,1,0/0,0/0,2/1,-,-,-,2,-,8,-,1,-,3,67%,2,-,-,2,1,1,-,4,-,-,-,-,-,-,-,-,-,1,,3356816
,Alisson,Liverpool,GK,,Brazil,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,5,-,33,-,8,-,20,75%,1,12,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,8.8,3356808
,T. A-Arnold,Liverpool,DR,,England,90,-,1,-,-,-,-,1/1,1/0,5/2,3,-,-,17,-,85,2,6,-,55,87%,36,3,-,4,-,3,1,4,1,12,-,-,-,-,-,-,-,-,8.3,3356808
,I. Konaté,Liverpool,DCR,,France,90,-,-,-,-,4,-,1/1,9/5,16/6,5,-,-,4,-,64,1,5,-,49,92%,19,1,-,3,-,1,-,2,1,-,-,-,-,-,-,-,-,-,7.3,3356808
,V. van Dijk,Liverpool,DCL,,Netherlands,90,-,-,-,-,-,1,1/1,5/3,8/5,5,-,-,4,-,60,-,5,-,50,92%,18,6,-,2,-,1,-,4,-,-,-,-,-,-,-,-,-,-,6.9,3356808
,K. Tsimikas,Liverpool,DL,,Greece,65,-,-,1,-,1,-,0/0,0/0,0/0,1,-,-,7,-,48,1,5,-,33,100%,16,1,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,6.4,3356808
,R. Gravenberch,Liverpool,DMCR,,Netherlands,90,-,-,-,-,1,-,3/0,0/0,5/3,-,-,-,7,-,55,-,6,-,45,91%,20,3,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,6.4,3356808
,A. Mac Allister,Liverpool,DMCL,,Argentina,80,-,-,-,-,2,3,1/0,1/1,10/7,1,-,-,5,-,61,-,1,-,47,91%,30,4,-,4,-,3,2,4,-,1,-,-,-,-,-,-,-,-,6.8,3356808
,M. Salah,Liverpool,AMR,,Egypt,90,-,-,-,-,-,-,1/0,0/0,2/1,-,-,-,15,-,48,-,2,-,38,68%,27,1,-,3,1,1,-,19,1,-,-,-,-,-,-,-,-,-,6.9,3356808
,D. Szoboszlai,Liverpool,AMC,,Hungary,80,-,-,1,-,2,1,0/0,2/0,8/2,-,-,-,7,-,51,-,5,-,33,91%,17,2,-,7,1,4,1,8,-,1,-,-,-,-,-,-,-,-,6.4,3356808
,C. Gakpo,Liverpool,AML,,Netherlands,87,-,-,-,-,1,1,1/1,1/1,5/3,1,-,-,10,-,45,-,4,-,34,82%,25,1,-,3,1,-,-,5,-,3,-,-,-,-,-,-,-,-,6.5,3356808
,L. Díaz,Liverpool,S,,Colombia,65,-,-,-,-,2,-,1/1,2/0,10/3,-,-,-,7,-,38,-,2,-,24,83%,18,-,-,6,2,2,2,8,-,1,-,-,-,-,-,-,-,-,6.6,3356808
,D. Núñez,Liverpool,F,,Uruguay,25,2,-,1,-,1,-,0/0,2/1,5/2,-,-,-,3,-,10,-,-,-,4,50%,3,-,-,4,2,-,1,5,-,-,-,-,-,-,1,1,-,-,8.1,3356808
,A. Robertson,Liverpool,D,,Scotland,25,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356808
,F. Chiesa,Liverpool,M,,Italy,3,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,3,-,9,-,-,-,7,86%,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,3356808
,C. Jones,Liverpool,M,,England,10,-,-,-,-,-,-,0/0,1/1,3/1,-,-,-,3,-,18,-,1,-,16,94%,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356808
,H. Elliott,Liverpool,M,,England,10,-,1,-,-,-,-,0/0,0/0,0/0,-,-,-,2,-,8,-,1,-,8,75%,4,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,,3356808
,M. Flekken,Brentford,GK,,Netherlands,90,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,14,-,65,-,10,-,50,76%,8,21,-,-,-,-,-,-,-,-,6,2,-,-,-,-,-,-,7.1,3356808
,M. Roerslev,Brentford,DR,,Denmark,90,-,-,1,-,1,2,1/0,1/0,8/5,2,-,-,7,-,39,1,1,-,23,78%,5,1,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,6.2,3356808
,N. Collins,Brentford,DCR,,Republic of Ireland,90,-,-,-,-,-,2,2/1,5/3,10/7,9,-,-,8,-,61,1,3,-,38,84%,4,5,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,6.2,3356808
,S. van den Berg,Brentford,DCL,,Netherlands,90,-,-,-,-,-,-,0/0,6/3,6/3,8,-,-,2,-,47,1,4,-,29,93%,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.2,3356808
,K. Lewis-Potter,Brentford,DL,,England,90,-,-,-,-,-,1,2/1,2/1,6/4,3,-,-,15,-,47,1,3,-,24,63%,4,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.6,3356808
,C. Nørgaard,Brentford,DMCR,,Denmark,90,-,-,1,-,3,-,3/3,2/0,12/4,2,-,-,6,1,57,4,12,-,36,94%,8,5,-,1,-,-,1,2,-,1,-,-,-,-,-,-,-,-,7.1,3356808
,V. Janelt,Brentford,DMCL,,Germany,66,-,-,-,-,1,1,1/0,0/0,7/2,2,-,-,10,-,40,-,6,-,30,80%,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.8,3356808
,B. Mbeumo,Brentford,AMR,,Cameroon,90,-,-,-,-,-,2,0/0,1/1,6/4,1,-,-,18,1,34,1,-,-,14,43%,9,-,-,4,4,-,1,9,-,5,-,-,-,-,-,-,-,-,6.5,3356808
,M. Damsgaard,Brentford,AMC,,Denmark,81,-,-,-,-,1,2,0/0,0/0,5/2,-,-,-,3,-,27,-,4,-,24,92%,7,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.4,3356808
,Y. Yarmoliuk,Brentford,AML,,Ukraine,90,-,-,-,-,-,1,2/1,0/0,6/5,3,-,-,10,2,42,-,4,-,26,69%,4,5,-,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,5.7,3356808
,Y. Wissa,Brentford,S,,DR Congo,90,-,-,-,-,-,2,1/0,2/1,8/5,3,-,-,7,1,38,1,-,-,15,93%,5,1,-,2,1,-,1,5,-,-,-,-,-,-,-,-,-,-,6.4,3356808
,K. Schade,Brentford,M,,Germany,24,-,-,-,-,-,-,0/0,5/4,6/5,1,-,-,7,1,13,-,1,-,8,25%,5,-,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,5.9,3356808
,M. Jensen,Brentford,M,,Denmark,9,-,-,-,-,-,-,0/0,1/0,0/0,-,-,-,3,-,6,-,-,-,2,100%,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,3356808
,E. Martínez,Aston Villa,GK,,Argentina,90,-,-,-,-,-,1,0/0,1/1,0/2,-,-,-,14,-,50,-,8,-,38,63%,5,27,-,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,6.5,3356807
,M. Cash,Aston Villa,DR,,Poland,90,-,1,-,-,3,-,0/0,0/0,5/1,3,-,-,10,-,32,-,2,-,16,75%,2,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,6.5,3356807
,E. Konsa,Aston Villa,DCR,,England,90,-,-,-,-,-,2,0/0,1/1,0/3,6,1,-,6,-,38,-,2,-,29,83%,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.7,3356807
,T. Mings,Aston Villa,DCL,,England,90,-,-,-,-,1,-,0/0,3/1,3/1,8,-,-,9,-,47,-,1,-,36,78%,1,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.7,3356807
,I. Maatsen,Aston Villa,DL,,Netherlands,45,-,-,1,-,1,-,1/0,0/0,3/2,1,-,-,6,-,30,1,1,-,18,83%,2,1,-,1,1,-,1,3,-,1,-,-,-,-,-,-,-,-,5.9,3356807
,B. Kamara,Aston Villa,DMCR,,France,90,-,-,1,-,1,1,6/2,1/0,11/7,7,-,-,7,-,43,1,5,-,27,78%,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,3356807
,A. Onana,Aston Villa,DMCL,,Belgium,37,-,-,-,-,-,-,0/0,1/1,0/2,4,-,-,-,-,11,-,-,-,6,100%,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6.5,3356807
,M. Rogers,Aston Villa,AMR,,England,90,-,-,1,-,5,-,1/0,4/2,15/3,2,-,-,16,-,29,-,4,-,16,50%,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7,3356807
,Y. Tielemans,Aston Villa,AMC,,Belgium,90,1,-,-,-,4,2,1/1,2/1,13/6,2,-,-,13,-,40,-,4,-,23,65%,6,3,-,3,1,-,2,2,-,3,-,-,-,-,-,-,-,-,6.8,3356807
,J. Ramsey,Aston Villa,AML,,England,85,-,-,-,-,1,-,0/0,2/0,0/0,-,-,-,8,1,26,1,2,-,18,83%,5,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,5.5,3356807
,O. Watkins,Aston Villa,S,,England,80,1,-,-,-,-,1,0/0,7/3,12/5,1,-,-,7,1,23,-,4,-,9,78%,-,-,-,3,1,1,1,4,-,-,-,-,-,-,1,-,1,-,6.9,3356807
,L. Digne,Aston Villa,D,,France,45,-,1,-,-,1,-,5/3,2/1,9/6,4,-,-,5,-,27,-,4,-,13,77%,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,7.0,3356807
,L. Bailey,Aston Villa,F,,Jamaica,5,-,-,-,-,-,-,0/0,1/1,0/1,-,-,-,1,-,2,-,-,-,2,50%,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,3356807
,J. Durán,Aston Villa,F,,Colombia,10,-,-,-,-,1,1,0/0,1/1,3/2,-,-,-,5,-,7,-,1,-,5,20%,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356807
,L. Bogarde,Aston Villa,M,,Netherlands,53,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356807
,David Raya,Arsenal,GK,,Spain,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,4,-,26,-,6,-,20,80%,6,8,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,5.9,3356807
,T. Partey,Arsenal,DR,,Ghana,90,-,-,-,-,1,2,1/0,4/4,9/8,3,1,-,18,-,87,1,6,-,68,81%,38,3,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,6.6,3356807
,J. Timber,Arsenal,DCR,,Netherlands,90,-,-,-,-,-,1,1/1,0/0,3/2,-,-,-,3,-,74,1,5,-,67,97%,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,3356807
,Gabriel Magalhães,Arsenal,DCL,,Brazil,90,-,-,-,-,1,1,3/2,9/4,14/8,3,-,-,7,-,88,-,1,1,77,94%,23,12,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,7.3,3356807
,M. Lewis-Skelly,Arsenal,DL,,England,90,-,-,-,-,-,4,2/2,1/0,9/6,-,-,-,7,-,61,2,8,-,40,93%,16,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.7,3356807
,M. Odegaard,Arsenal,MCR,,Norway,90,-,-,-,-,1,-,0/0,1/0,0/0,1,-,-,19,-,61,-,3,-,41,90%,23,-,-,1,-,1,-,2,-,11,-,-,-,-,-,-,-,-,6.0,3356807
,D. Rice,Arsenal,MC,,England,90,-,-,-,-,-,1,3/2,3/1,11/6,-,-,-,11,-,75,-,1,-,57,93%,23,2,-,1,-,-,1,3,-,8,-,-,-,-,-,-,-,-,6.7,3356807
,Mikel Merino,Arsenal,MCL,,Spain,90,-,-,-,-,2,3,1/0,8/5,16/10,2,-,-,10,-,59,3,7,-,38,87%,22,1,-,3,1,1,1,5,-,3,-,-,-,-,-,-,-,-,6.9,3356807
,G. Martinelli,Arsenal,WR,,Brazil,82,1,-,-,-,-,1,0/0,1/0,7/1,-,-,-,16,-,31,-,1,-,15,67%,9,-,-,3,2,-,-,10,-,4,-,-,-,-,-,1,-,-,6.9,3356807
,K. Havertz,Arsenal,S,,Germany,90,1,-,-,-,3,1,0/0,2/2,5/2,1,-,-,7,2,32,-,-,-,17,94%,11,-,-,3,1,-,-,3,-,3,-,-,-,-,-,-,-,-,7.1,3356807
,L. Trossard,Arsenal,WL,,Belgium,90,-,2,1,-,1,2,1/0,0/0,10/5,-,-,-,21,1,62,1,4,-,30,77%,19,4,-,6,2,2,2,7,2,11,-,-,-,-,-,-,-,-,8.4,3356807
,R. Sterling,Arsenal,F,,England,8,-,-,1,-,1,1,0/0,0/0,5/3,-,-,-,2,-,18,-,-,-,13,92%,9,-,-,1,-,1,2,1,-,-,-,-,-,-,-,-,-,-,,3356807
,A. Kinský,Tottenham,GK,,Czechia,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,,3356810
,A. Gray,Tottenham,DR,,England,90,-,-,-,-,2,-,2/1,1/0,7/2,2,-,-,6,-,73,1,4,-,61,92%,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,3356810
,R. Drăgușin,Tottenham,DC,,Romania,45,-,-,-,-,-,1,0/0,4/1,6/2,4,-,-,5,-,41,-,-,-,33,85%,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,3356810
,B. Davies,Tottenham,DL,,Wales,90,-,-,-,-,2,2,3/3,14/7,21/11,5,-,-,12,-,116,-,-,-,98,90%,11,5,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,6.8,3356810
,Pedro Porro,Tottenham,DMR,,Spain,90,-,-,-,-,-,1,3/2,0/0,6/5,2,-,-,20,-,84,1,3,-,56,75%,28,7,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,6.2,3356810
,P. Sarr,Tottenham,DMCR,,Senegal,73,-,-,-,-,-,1,1/1,3/1,8/3,2,-,-,7,-,55,1,6,-,47,89%,13,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,6.4,3356810
,L. Bergvall,Tottenham,DMCL,,Sweden,90,-,-,1,-,2,2,3/3,0/0,9/5,2,-,-,8,-,94,1,5,-,81,93%,18,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,3356810
,D. Spence,Tottenham,DML,,England,90,-,-,-,-,1,2,3/3,2/2,24/16,1,-,-,21,1,94,-,6,-,57,82%,25,-,-,1,-,1,9,5,-,3,-,-,-,-,-,-,-,-,8.0,3356810
,D. Kulusevski,Tottenham,AMCR,,Sweden,90,1,-,-,-,2,2,1/0,2/0,14/4,-,-,-,14,-,58,-,3,-,42,88%,22,3,-,1,1,-,1,2,1,2,-,-,-,-,-,-,-,-,7.6,3356810
,J. Maddison,Tottenham,AMCL,,England,90,-,-,-,-,3,2,2/1,1/0,12/5,-,-,-,15,-,75,-,5,-,57,88%,25,4,-,2,-,1,1,3,-,2,-,-,-,-,-,-,-,-,6.6,3356810
,Son,Tottenham,S,,Korea Republic,90,-,-,-,-,-,-,1/1,3/2,10/4,1,-,-,14,-,48,-,4,-,32,81%,18,-,-,2,2,-,1,4,-,3,-,-,-,-,-,-,-,-,6.7,3356810
,M. Moore,Tottenham,F,,England,17,-,1,-,-,2,-,0/0,0/0,0/0,-,-,-,7,-,18,-,-,-,11,82%,9,-,-,1,1,-,-,4,1,4,-,-,-,-,-,-,-,-,7.2,3356810
,Richarlison,Tottenham,F,,Brazil,45,1,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356810
,J. Pickford,Everton,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,10,-,46,-,6,-,36,72%,10,22,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,6.2,3356810
