match_id,home_team,away_team,match_key
3356928,Arsenal,Crystal Palace,Arsenal-Crystal Palace
3356930,Chelsea,Everton,Chelsea-Everton
3356935,Southampton,Fulham,Southampton-Fulham
3356929,Brighton,West Ham,Brighton-West Ham
3356936,Wolves,Leicester,Wolves-Leicester
3356933,Newcastle,Ipswich,Newcastle-Ipswich
3356927,Bournemouth,Man Utd,Bournemouth-Man Utd
3356931,Liverpool,Tottenham,Liverpool-Tottenham
3356934,Notts Forest,Brentford,Notts Forest-Brentford
3356945,Man City,Wolves,Man City-Wolves
3356938,Aston Villa,Fulham,Aston Villa-Fulham
3356943,Everton,Ipswich,Everton-Ipswich
3356944,Leicester,Southampton,Leicester-Southampton
3356937,Arsenal,Bournemouth,Arsenal-Bournemouth
3356946,West Ham,Tottenham,West Ham-Tottenham
3356939,Brentford,Man Utd,Brentford-Man Utd
3356940,Brighton,Newcastle,Brighton-Newcastle
3356941,Chelsea,Liverpool,Chelsea-Liverpool
3356942,Crystal Palace,Notts Forest,Crystal Palace-Notts Forest
3356949,Ipswich,Brentford,Ipswich-Brentford
3356954,Southampton,Man City,Southampton-Man City
3356956,Wolves,Brighton,Wolves-Brighton
3356948,Fulham,Everton,Fulham-Everton
3356947,Bournemouth,Aston Villa,Bournemouth-Aston Villa
3356952,Newcastle,Chelsea,Newcastle-Chelsea
3356955,Tottenham,Crystal Palace,Tottenham-Crystal Palace
3356951,Man Utd,West Ham,Man Utd-West Ham
3356953,Notts Forest,Leicester,Notts Forest-Leicester
3356950,Liverpool,Arsenal,Liverpool-Arsenal
3356958,Aston Villa,Tottenham,Aston Villa-Tottenham
3356961,Chelsea,Man Utd,Chelsea-Man Utd
3356963,Everton,Southampton,Everton-Southampton
3356966,West Ham,Notts Forest,West Ham-Notts Forest
3356964,Leicester,Ipswich,Leicester-Ipswich
3356959,Brentford,Fulham,Brentford-Fulham
3356957,Arsenal,Newcastle,Arsenal-Newcastle
3356960,Brighton,Liverpool,Brighton-Liverpool
3356965,Man City,Bournemouth,Man City-Bournemouth
3356962,Crystal Palace,Wolves,Crystal Palace-Wolves
3356976,Wolves,Brentford,Wolves-Brentford
3356968,Fulham,Man City,Fulham-Man City
3356970,Liverpool,Crystal Palace,Liverpool-Crystal Palace
3356972,Newcastle,Everton,Newcastle-Everton
3356975,Tottenham,Brighton,Tottenham-Brighton
3356971,Man Utd,Aston Villa,Man Utd-Aston Villa
3356973,Notts Forest,Chelsea,Notts Forest-Chelsea
3356969,Ipswich,West Ham,Ipswich-West Ham
3356974,Southampton,Arsenal,Southampton-Arsenal
3356967,Bournemouth,Leicester,Bournemouth-Leicester
