Unnamed: 0;NAME;TEAM;POS;NAT;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
;S. Ameyaw;;F;;England;9;-;-;-;-;-;1;0/0;0/0;3/1;-;-;-;2;-;9;-;-;-;4;100%;4;-;-;1;-;1;-;2;-;1;-;-;-;-;-;-;-;-;
;José Sá;;GK;;Portugal;90;-;-;-;-;-;-;0/0;0/0;0/1;3;-;-;17;-;50;-;6;-;39;56%;6;26;-;-;-;-;1;-;-;-;4;2;-;-;-;-;-;-;6.4
;M. Doherty;;DR;;Republic of Ireland;90;-;-;-;-;-;1;2/2;3/1;7/5;3;-;-;11;-;55;1;2;-;33;79%;9;1;-;2;-;1;1;2;-;-;-;-;-;-;-;-;-;-;6.2
;Y. Mosquera;;DCR;;Colombia;90;-;-;-;-;2;2;3/2;5/3;12/8;-;-;-;8;-;56;-;3;-;46;85%;12;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5.9
;Toti Gomes;;DCL;;Portugal;90;-;-;1;-;1;-;2/1;1/1;7/3;1;-;-;10;1;66;-;2;-;57;89%;6;4;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5.7
;R. Aït-Nouri;;DL;;Algeria;84;-;-;-;-;2;2;4/3;0/0;12/6;1;-;-;9;-;62;1;5;-;39;95%;15;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.4
;João Gomes;;DMCR;;Brazil;84;-;-;1;-;3;-;2/2;2/0;12/4;-;-;-;8;-;46;-;5;-;37;86%;12;2;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;6.1
;M. Lemina;;DMCL;;Gabon;90;-;-;-;-;1;1;2/0;3/2;8/5;2;-;-;9;-;54;5;5;-;38;84%;4;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.6
;Hwang Heechan;;AMR;;Korea Republic;90;-;-;-;-;-;5;0/0;2/1;12/7;-;-;-;12;-;39;-;4;-;21;76%;9;-;-;-;-;-;1;2;1;1;-;-;-;-;-;-;-;-;6.3
;J. Bellegarde;;AMC;;Haiti;57;-;-;-;-;2;3;1/1;3/0;13/4;-;-;-;6;-;28;-;2;-;16;88%;3;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5.8
;Rodrigo Gomes;;AML;;Portugal;75;-;-;-;-;-;1;0/0;3/2;8/4;-;-;-;11;-;26;-;2;-;15;67%;6;1;-;1;-;-;1;4;-;4;-;-;-;-;-;-;-;-;5.6
;J. Strand Larsen;;S;;Norway;84;-;-;-;-;2;-;0/0;4/2;7/2;1;-;-;8;-;20;-;1;-;12;67%;5;-;-;1;1;-;-;4;-;-;-;-;-;-;-;-;-;-;5.9
;Matheus Cunha;;F;;Brazil;33;-;-;-;-;-;2;2/1;1/0;6/4;2;-;-;1;-;17;-;2;-;8;100%;2;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;6.3
;C. Dawson;;D;;England;6;-;-;-;-;-;-;0/0;1/1;2/1;1;-;-;1;-;5;-;2;-;3;100%;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;Pablo Sarabia;;M;;Spain;6;-;-;-;-;-;-;1/0;1/0;5/3;-;-;-;3;-;12;-;-;-;6;83%;1;1;-;1;1;-;2;1;-;1;-;-;-;-;-;-;-;-;
;Daniel Podence;;M;;Portugal;15;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;Chiquinho;;F;;Portugal;6;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;David Raya;;GK;;Spain;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;9;-;41;-;8;-;32;72%;6;14;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;7.1
